datetime,keyword,sn,AFP,CNN,RT,TOI,DDN,PEOPLECN
2023-08-31 23:14:37,韓国 軍事 委員会 日本 技術 オーカス 諸国 共有 英国 北朝鮮 朝鮮中央通信 KCNA 3 戦術核 攻撃,2,,https://www.cnn.co.jp/world/35208587.html?ref=rss,https://www.rt.com/news/582156-japan-korea-join-aukus/?utm_source=rss&utm_medium=rss&utm_campaign=RSS,,,
2023-08-31 09:00:00,中国 月 年 3 今週 発表 同国 地図 近隣 アジア 10 ベルト ロード 建設 結果 導入,2,,https://www.cnn.co.jp/world/35208541.html?ref=rss,,,,http://world.people.com.cn/n1/2023/0831/c1002-40068058.html
2023-08-31 04:27:59,2021 年 ため ウクライナ 指導者 会議 屈辱 res 本 ロシア 政府 9 月 1日 ノーベル,2,,https://www.cnn.co.jp/world/35208578.html?ref=rss,https://www.rt.com/news/582109-zelensky-biden-first-meeting-bombed/?utm_source=rss&utm_medium=rss&utm_campaign=RSS,,,
2023-08-30 18:45:00,大統領 国民 こと さ 人々 決定 定義 彼 国 アフリカ 中部 ガボン 30 軍 高官,2,,https://www.cnn.co.jp/world/35208459.html?ref=rss,https://www.rt.com/russia/582231-russia-invincible-putin-says/?utm_source=rss&utm_medium=rss&utm_campaign=RSS,,,
2023-08-30 18:22:00,発表 7 月 6 減 米 労働省 労働 統計 局 中国 汽車 工業 協会 CAAM,2,https://www.afpbb.com/articles/-/3479238,https://www.cnn.co.jp/business/35208575.html?ref=rss,,,,
2023-08-30 16:29:00,ウクライナ 30 ロシア 軍 攻撃 無人 機 首都 キーウ 当局 防空 システム 西部 軍政 トップ ポプコ,2,https://www.afpbb.com/articles/-/3479270,https://www.cnn.co.jp/world/35208449.html?ref=rss,,,,
2023-08-30 16:21:42,アフリカ 中部 ガボン 30 軍 テレビ 大統領 選 結果 発表 幹部 ら 放送 高官 グループ 権限,2,https://www.afpbb.com/articles/-/3479235,https://www.cnn.co.jp/world/35208459.html?ref=rss,,,,
2023-08-30 15:55:00,映画 興行収入 最高額 更新 夏 シーズン 終了 あと 14 ところ 米国 先月 公開 バービー 世界 ワーナー,2,https://www.afpbb.com/articles/-/3479332,https://www.cnn.co.jp/showbiz/35208433.html?ref=rss,,,,
2023-08-30 15:23:00,日本 環境 核 汚染水 朝 排出 戦争犯罪者 政府 ほど 国際 社会 反対 無視,2,https://www.afpbb.com/articles/-/3479128,,,,,http://world.people.com.cn/n1/2023/0901/c1002-40068784.html
2023-08-30 13:59:00,ウクライナ 機 無人 ドローン メディア ブダノフ 長 軍隊 治安 部隊 平均 キリロ 情報局 1日 先月末,2,https://www.afpbb.com/articles/-/3479746,https://www.cnn.co.jp/world/35208436.html?ref=rss,,,,
2023-08-30 13:38:00,フランス 大使 政府 西アフリカ ニジェール 駐在 現地 軍事 政権 ニジェール 軍 西 追放,2,,https://www.cnn.co.jp/world/35208430.html?ref=rss,,,,http://world.people.com.cn/n1/2023/0902/c1002-40069312.html
2023-08-30 13:38:00,フランス 大使 政府 西アフリカ ニジェール 駐在 現地 軍事 政権 ニジェール 軍 西 追放 ため 措置,2,,https://www.cnn.co.jp/world/35208430.html?ref=rss,,,,http://world.people.com.cn/n1/2023/0901/c1002-40068517.html
2023-08-30 13:16:00,中国 開催 地域 2023 年 モバイル 東南 アジア 協力 四川省 峨眉山 市 25 27 9,2,https://www.afpbb.com/articles/-/3479053,,,,,http://world.people.com.cn/n1/2023/0902/c1002-40069367.html
2023-08-30 11:24:00,ジュース コールサイン ウクライナ パイロット アンドリー ピルシチコウ 29 首都 キーウ 上空 防衛 幽霊 軍 氏 遺体,2,https://www.afpbb.com/articles/-/3479203,https://www.cnn.co.jp/world/35208421.html?ref=rss,,,,
2023-08-30 11:24:00,ジュース コールサイン ウクライナ パイロット アンドリー ピルシチコウ 29 首都 キーウ 上空 防衛 幽霊 軍 氏 遺体,2,https://www.afpbb.com/articles/-/3479167,https://www.cnn.co.jp/world/35208421.html?ref=rss,,,,
2023-08-30 11:01:11,中国 外務 長官 コメント ジェームズ 旅行 公式 議会 文書 意見 不一致 英国,2,,,https://www.rt.com/news/582090-uk-taiwan-independent-country/?utm_source=rss&utm_medium=rss&utm_campaign=RSS,https://timesofindia.indiatimes.com/world/uk/uk-clear-eyed-about-disagreements-with-china-says-british-foreign-secretary/articleshow/103202571.cms,,
2023-08-30 10:55:48,知事 無人 攻撃 ロシア 西部 プスコフ 州 のべ デルニコフ いくつ スピード ボート 航空機 港湾 都市,2,,https://www.cnn.co.jp/world/35208422.html?ref=rss,https://www.rt.com/russia/582064-sevastopol-ukrainian-drone-attack/?utm_source=rss&utm_medium=rss&utm_campaign=RSS,,,
2023-08-30 09:40:08,ロシア ウクライナ 攻撃 米国 ブリンケン 国務 長官 29 2億5000万 2 戦闘 以来 土壌 最大 ドローン,2,,https://www.cnn.co.jp/usa/35208453.html?ref=rss,,https://timesofindia.indiatimes.com/world/europe/2-killed-in-kyiv-as-russia-accuses-ukraine-of-biggest-drone-attack-on-its-soil-since-fighting-began/articleshow/103197983.cms,,
2023-08-30 09:00:00,ロシア ウクライナ 攻撃 ドローン 2 戦闘 以来 ミサイル 2人 当局 30 最新 開発 領土 多く,3,https://www.afpbb.com/articles/-/3479270,,,https://timesofindia.indiatimes.com/world/europe/2-killed-in-kyiv-as-russia-accuses-ukraine-of-biggest-drone-attack-on-its-soil-since-fighting-began/articleshow/103197983.cms,,http://world.people.com.cn/n1/2023/0830/c1002-40067130.html
2023-08-30 09:00:00,ロシア ウクライナ 攻撃 ドローン 2 戦闘 以来 最新 開発 領土 多く 空港 自分,2,,,,https://timesofindia.indiatimes.com/world/europe/russian-airport-attacked-from-own-territory-ukraine-says/articleshow/103299183.cms,,http://world.people.com.cn/n1/2023/0830/c1002-40067130.html
2023-08-29 23:21:27,知事 攻撃 建物 ロシア 西部 プスコフ 州 のべ デルニコフ キエフ 軍隊 ブライアンス 地域 村 学校,2,,https://www.cnn.co.jp/world/35208422.html?ref=rss,https://www.rt.com/russia/582047-ukraine-shell-russian-region/?utm_source=rss&utm_medium=rss&utm_campaign=RSS,,,
2023-08-29 20:35:00,ロシア 墜落 死亡 民間 軍事 会社 ワグネル エフゲニー プリゴジン 氏 SNS テレグラム チャンネル 大統領 府 29,2,https://www.afpbb.com/articles/-/3479094,https://www.cnn.co.jp/world/35208551.html?ref=rss,,,,
2023-08-29 16:18:00,サミット 協力 ため G 20 経済 確認 ウクライナ 戦争 中国 10 月 ベルト ロード 年,2,,,,,https://ddnews.gov.in/international/president-biden-reaffirm-economic-cooperation-discuss-ukraine-war-g20-summit,http://world.people.com.cn/n1/2023/0831/c1002-40068058.html
2023-08-29 13:26:50,日本 福島 海洋 放出 中国 東京電力 処理 水 北京 大使館 29 1 原発 政府 開始 ほど,2,https://www.afpbb.com/articles/-/3479128,https://www.cnn.co.jp/world/35208404.html?ref=rss,,,,
2023-08-29 12:30:00,毎年 恒例 開催 米 アップル 29 カリフォルニア州 クパチーノ 本社 英 ウェールズ スランウルティドウェルズ 沼地 27 世界,2,https://www.afpbb.com/articles/-/3478955,https://www.cnn.co.jp/tech/35208418.html?ref=rss,,,,
2023-08-29 09:14:24,連邦 2020 年 大統領 選 起訴 月 米 ワシントン 地裁 28 米大統領 ジョージア州 結果 トランプ,2,https://www.afpbb.com/articles/-/3478924,https://www.cnn.co.jp/usa/35208547.html?ref=rss,,,,
2023-08-29 03:48:56,年 4 月 連邦 前大統領 ターニャ チャッカン 判事 2026 訴訟 米 ワシントン 地裁 28 2020,2,https://www.afpbb.com/articles/-/3478924,,https://www.rt.com/news/582003-trump-court-date-primaries-chutkan/?utm_source=rss&utm_medium=rss&utm_campaign=RSS,,,
2023-08-29 02:28:06,ロシア 電話 サミット プーチン Modi 首相 G 20 参加 インド 指導者 たち 月曜日 月 探検,2,,,https://www.rt.com/russia/581992-putin-modi-moon-landing/?utm_source=rss&utm_medium=rss&utm_campaign=RSS,,https://ddnews.gov.in/international/russias-putin-holds-phone-call-pm-modi-conveys-his-inability-attend-g20-summit-0,
2023-08-28 20:31:00,フランス アタル 教育相 27 イスラム教 徒 女性 着用 全身 アバヤ 学校 禁止 発表 衣装 ガブリエル 国民,2,https://www.afpbb.com/articles/-/3478954,https://www.cnn.co.jp/world/35208401.html?ref=rss,,,,
2023-08-28 20:10:55,欧州 評議会 会長 チャールズ ミシェル 加盟国 こと 提案 予定 欧州連合 準備 必要,2,,,https://www.rt.com/news/581968-eu-expansion-charles-michel/?utm_source=rss&utm_medium=rss&utm_campaign=RSS,,,http://world.people.com.cn/n1/2023/0829/c1002-40066046.html
2023-08-28 18:30:00,以上 ドイツ ファン ハンブルク ファンタジー 小説 ハリー ポッター 1700 100 年 前 モダニズム 誕生 以来,2,https://www.afpbb.com/articles/-/3478928,https://www.cnn.co.jp/style/design/35208345.html?ref=rss,,,,
2023-08-28 13:30:00,宇宙 飛行士 米 スペース X 宇宙船 クルー ドラゴン 27 国際宇宙ステーション ドッキング 世界 4 古川 聡,2,https://www.afpbb.com/articles/-/3478799,https://www.cnn.co.jp/fringe/35208323.html?ref=rss,,,,
2023-08-28 12:01:26,スペイン サッカー 連盟 ルイス ルビアレス 会長 女子 W杯 優勝 代表 エルモソ 唇 キス 問題 オーストラリア ワールドカップ,2,https://www.afpbb.com/articles/-/3478755,https://www.cnn.co.jp/showbiz/35208327.html?ref=rss,,,,
2023-08-28 11:42:27,サッカー 連盟 代表 発表 サウジアラビア 27 ロベルト マンチーニ 氏 同国 スペイン ルイス ルビアレス 会長 女子 ワールドカップ,2,https://www.afpbb.com/articles/-/3478770,https://www.cnn.co.jp/showbiz/35208327.html?ref=rss,,,,
2023-08-28 11:42:00,26 団体 抗議 ら 阻止 韓国 環境 市民 日本 放射能 カリブ 海 島国 ハイチ 首都,2,https://www.afpbb.com/articles/-/3478890,https://www.cnn.co.jp/world/35208320.html?ref=rss,,,,
2023-08-28 10:06:25,ロシア 米国 領事館 元 雇用者 スパイ 告発 Tass 当局 28 ウクライナ 紛争 情報 米,2,https://www.afpbb.com/articles/-/3478874,,,https://timesofindia.indiatimes.com/world/europe/russia-charges-ex-employee-of-us-consulate-with-spying-tass/articleshow/103125187.cms,,
2023-08-28 09:00:00,日本 汚染水 韓国 販売 福島 一 原子力発電所 放射能 海洋 放出 核 退院 海 乾燥 品 在庫,2,https://www.afpbb.com/articles/-/3479075,,,,,http://world.people.com.cn/n1/2023/0828/c1002-40065065.html
2023-08-28 09:00:00,米国 中国人 安全 保障 中国 外交 部 汪 文 斌 外務省 スポークスマン 職員 国家 抑制,2,https://www.afpbb.com/articles/-/3479033,,,,,http://world.people.com.cn/n1/2023/0828/c1002-40065532.html
